id,tipo,categoria,pregunta,respuesta_referencia,fuente,nota
C01,Articulacion Curricular,1° Básico - Tecnología (TE01 OA01),"Tengo una clase de 1° básico y quiero trabajar el OA de Tecnología sobre crear diseños representando ideas en dibujos, ¿qué actividad puedo hacer con COODI?","Concepto Clave: TE01 OA01 busca que el estudiante cree diseños de objetos tecnológicos representando sus ideas mediante dibujos. Pasos: 1) Pide a los estudiantes dibujar a mano alzada cómo imaginan la estructura interna y los componentes de COODI antes de usarlo. 2) Compara los dibujos con el robot real. OA vinculado: TE01 OA01, Tecnología, 1° Básico. Verificación: cada estudiante entrega un dibujo con al menos los componentes principales identificados.",Bases Curriculares Mineduc / Tesis Tabla 4,
C02,Articulacion Curricular,1° Básico - Matemática (MA01 OA11),¿Cómo puedo usar COODI para trabajar patrones repetitivos con mis estudiantes de 1° básico?,"Programar con COODI secuencias básicas de movimiento repetitivas (avanzar, girar, retroceder) para que el robot forme un patrón. OA vinculado: MA01 OA11, Matemática, 1° Básico (reconocer, describir, crear y continuar patrones repetitivos).",Bases Curriculares Mineduc / Tesis Tabla 4,
C03,Articulacion Curricular,2° Básico - Ciencias Naturales (CN02 OA09),"Quiero enseñar sobre cambios en los materiales por efecto de la luz en 2° básico usando COODI, ¿qué actividad me recomiendas?","Usar los indicadores LED de COODI para proyectar luz sobre distintos materiales y clasificar cuáles son opacos o translúcidos. OA vinculado: CN02 OA09, Ciencias Naturales, 2° Básico.",Bases Curriculares Mineduc / Tesis Tabla 4,
C04,Articulacion Curricular,2° Básico - Tecnología (TE02 OA02),¿Qué actividad de COODI se vincula con el OA de organizar tareas para elaborar un objeto tecnológico en 2° básico?,"Ensamblar el chasis básico de COODI siguiendo un instructivo visual, reconociendo cada herramienta y pieza usada en el proceso. OA vinculado: TE02 OA02, Tecnología, 2° Básico.",Bases Curriculares Mineduc / Tesis Tabla 4,
C05,Articulacion Curricular,3° Básico - Ciencias Naturales (CN03 OA12),"Necesito explicar rotación y traslación terrestre en 3° básico, ¿COODI me puede servir?","Sí: usar a COODI como modelo físico para simular la traslación y rotación alrededor de un punto de luz central que representa el Sol. OA vinculado: CN03 OA12, Ciencias Naturales, 3° Básico.",Bases Curriculares Mineduc / Tesis Tabla 4,
C06,Articulacion Curricular,3° Básico - Matemática (MA03 OA15),¿Cómo relaciono el hardware de COODI con el objetivo de figuras 3D y 2D de 3° básico Matemática?,"Identificar qué figuras geométricas 3D componen el hardware de COODI y pedir a los estudiantes dibujar sus respectivas vistas en 2D. OA vinculado: MA03 OA15, Matemática, 3° Básico.",Bases Curriculares Mineduc / Tesis Tabla 4,
C07,Articulacion Curricular,4° Básico - Tecnología (TE04 OA01),"Quiero que mis estudiantes de 4° básico diseñen un objeto tecnológico usando material reciclado, vinculado a COODI, ¿qué actividad existe?","Diseñar con material reciclado una carcasa o ""pala"" para COODI que le permita empujar pequeños objetos en el aula. OA vinculado: TE04 OA01, Tecnología, 4° Básico.",Bases Curriculares Mineduc / Tesis Tabla 4,
C08,Articulacion Curricular,4° Básico - Matemática (MA04 OA14),¿Cómo integro ecuaciones de un paso con COODI en 4° básico?,"Calcular mediante una ecuación cuántos centímetros o pasos debe avanzar COODI para llegar a una meta, si ya recorrió una distancia ""X"". OA vinculado: MA04 OA14, Matemática, 4° Básico.",Bases Curriculares Mineduc / Tesis Tabla 4,
C09,Articulacion Curricular,5° Básico - Caso ancla (CN05 OA10 / OA3 Tecnología),¿Cómo conecto el sensor ultrasónico al robot COODI para medir distancias en una actividad de 5° básico?,"Concepto Clave: el HC-SR04 mide distancias mediante pulsos sonoros (ultrasonido). Pasos: 1) Conecta el pin VCC al puerto de 5V de COODI. 2) Conecta GND a tierra. 3) Conecta TRIG al pin digital 9 y ECHO al pin 10. 4) Carga el bloque ""Leer distancia"" desde el entorno de programación. 5) Ajusta el umbral a 20 cm para la actividad. OA vinculado: OA 3, Tecnología, 5° Básico (diseñar y construir objetos tecnológicos con sistemas de control básicos); también relacionado con CN05 OA10 (circuito eléctrico simple). Verificación: el monitor serial debe mostrar valores en centímetros al agitar la mano frente al sensor.","Tesis (Figura 7, caso ancla) + COODI-KB-BASE §9",Pregunta ancla de la tesis; debe reproducir la estructura completa de microaprendizaje
C10,Articulacion Curricular,5° Básico - Ciencias Naturales (CN05 OA10),¿Qué actividad de COODI permite analizar un circuito eléctrico simple en 5° básico?,"Identificar el circuito eléctrico básico de COODI, reconociendo cómo la batería entrega energía a la placa y a los motores. OA vinculado: CN05 OA10, Ciencias Naturales, 5° Básico.",Bases Curriculares Mineduc / Tesis Tabla 4,
C11,Articulacion Curricular,5° Básico - Matemática (MA05 OA17),"¿Cómo trabajo aristas, caras y paralelismo/perpendicularidad con COODI en 5° básico?","Trazar en el suelo rutas con cinta adhesiva que sean paralelas y perpendiculares, y programar a COODI para recorrerlas. OA vinculado: MA05 OA17, Matemática, 5° Básico.",Bases Curriculares Mineduc / Tesis Tabla 4,
C12,Articulacion Curricular,6° Básico - Ciencias Naturales (CN06 OA08),¿Qué actividad de COODI sirve para explicar transformación de energía en 6° básico?,"Analizar la transformación de energía en COODI: cómo la energía química de la batería se transforma en energía cinética (motores) y lumínica (LEDs). OA vinculado: CN06 OA08, Ciencias Naturales, 6° Básico.",Bases Curriculares Mineduc / Tesis Tabla 4,
C13,Articulacion Curricular,6° Básico - Tecnología (TE06 OA03),¿Cómo integro un objetivo de 6° básico sobre modificar un producto tecnológico usando COODI?,"Modificar estructuralmente a COODI integrando un nuevo actuador o sensor para resolver un problema, seleccionando y usando materiales, herramientas y técnicas. OA vinculado: TE06 OA03, Tecnología, 6° Básico.",Bases Curriculares Mineduc / Tesis Tabla 4,
C14,Articulacion Curricular,Cruzada - Tecnología 5°,¿Qué Objetivo de Aprendizaje de Tecnología se vincula con el sensor HC-SR04 en 5° básico?,"OA 3, Tecnología, 5° Básico — diseñar y construir objetos tecnológicos que incluyan sistemas de control básicos.","Tesis (caso ancla, Figura 7)",
C15,Articulacion Curricular,General - Planificación de clase,"Tengo 45 minutos de clase y necesito una actividad rápida vinculada a un OA de Matemática, ¿qué me recomiendas?","Depende del nivel: por ejemplo, en 1° básico programar secuencias repetitivas (MA01 OA11); en 5° básico trazar rutas paralelas/perpendiculares (MA05 OA17). Elegir según el curso y priorizar actividades breves y accionables dentro del tiempo de clase.",Tesis Tabla 4 + sección 5.4.6 (microaprendizaje),
C16,Articulacion Curricular,General - Interdisciplinariedad,¿Qué asignaturas se pueden trabajar de forma interdisciplinaria usando COODI en 1° básico?,"En 1° básico, COODI permite vincular Tecnología (TE01 OA01, diseño mediante dibujos) y Matemática (MA01 OA11, patrones repetitivos).",Bases Curriculares Mineduc / Tesis Tabla 4,
C17,Articulacion Curricular,General - Alcance curricular,¿COODI tiene Objetivos de Aprendizaje propios en las bases curriculares?,"No. La robótica es una actividad extracurricular en Chile y no tiene OA propios; el docente debe identificar qué OA de Tecnología, Matemática o Ciencias Naturales pueden vincularse a cada actividad con COODI.","Tesis, Planteamiento del problema (Sección 2)",
C18,Articulacion Curricular,Límite de alcance,¿Puedo usar COODI para trabajar un OA de 7° básico?,"El corpus curricular indexado por COODIBOT se limita a Educación Básica, específicamente de 1° a 6° básico, para evitar dispersión semántica y maximizar la precisión. No hay información indexada para 7° básico en esta versión del sistema.","Tesis, Delimitación de alcance (5.4.1, 7.1)","Pregunta trampa: debe reconocer el límite de alcance, no inventar contenido de 7° básico"
C19,Articulacion Curricular,Nivel político-estratégico,¿Qué orientaciones del Mineduc debo considerar si quiero trabajar robótica con enfoque de género?,"Las Orientaciones para la Incorporación de la Perspectiva de Género en Proyectos de Robótica Educativa del Mineduc, que buscan promover dinámicas de aula equitativas y mitigar sesgos de género en STEM.",Tesis 5.6.2 (Nivel de Inclusión y Equidad) / Referencias,
C20,Articulacion Curricular,General - Fuentes,¿Qué documentos del Mineduc respaldan el uso de COODI en el aula?,"Las Bases Curriculares (1° a 6° básico, con foco en Tecnología y sus intersecciones con Matemática y Ciencias Naturales), la Ruta Guía Computacional del Mineduc, y las Orientaciones de Ciudadanía Digital, STEM y Género.",Tesis 5.6.2,
